name,position,address,photo_link
"Dato' Seri Dr. Ahmad Samsuri bin Mokhtar, S.S.M.Z.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Ru Rendang N19(PAS),https://dun.terengganu.gov.my/images/ADUN/N19%20rhudendangYAB%20PROF.%20DR%20AHMAD%20SAMSURI%20BIN%20MOKHTAR.jpg
"Dato' Haji Satiful Bahari bin Mamat, D.P.M.T.,S.M.Z.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Paka N28(PAS),https://dun.terengganu.gov.my/images/ADUN/N28%20paka%20YB%20HAJI%20SATIFUL%20BAHARI%20BIN%20MAMAT.jpg
"Dato' Dr. Haji Alias bin Razak, D.P.M.T.,S.M.T.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Bukit Tunggal N12(PAS),https://dun.terengganu.gov.my/images/ADUN/N12%20bukit%20tunggal%20YB.%20Dr.%20Haji%20Alias%20Bin%20Razak.jpg
"Mohd Nor bin Hamzah, S.M.T.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Bukit Payung N18(PAS),https://dun.terengganu.gov.my/images/ADUN/N18%20bukit%20payung%20YB%20HAJI%20MOHD%20NOR%20BIN%20HAMZAH.jpg
"Dr. Azman bin Ibrahim, A.M.Z.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Jabi N05(PAS),https://dun.terengganu.gov.my/images/ADUN/N05%20jabi%20YB%20DR.%20AZMAN%20BIN%20IBRAHIM.jpg
"Ariffin bin Derama n, S.M.Z.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Alur Limbat N17(PAS),https://dun.terengganu.gov.my/images/ADUN/N17%20alurlimbat%20YB%20ARIFFIN%20BIN%20DERAMAN.jpg
"Haji Hanafiah bin Mat, S.M.Z., P.J.K.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Cukai N31(PAS),https://dun.terengganu.gov.my/images/adn/ybHaji%20Hanafiah%20Bin%20Mat222222222222.jpg
"Wan Sukairi Bin Wan Abdullah , S.M.Z.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Wakaf Mempelam N13(PAS),https://dun.terengganu.gov.my/images/ADUN/N13%20wakafmempelam%20YB%20WAN%20SUKAIRI%20BIN%20WAN%20ABDULLAH.jpg
"Dr. Haji Mamad bin Puteh, S.M.Z., P.J.K.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Kuala Berang N23(PAS),https://dun.terengganu.gov.my/images/ADUN/N23%20kualaberang%20YB%20DR.%20HAJI%20MAMAD%20BIN%20PUTEH.jpg
Haji Mohd Nurkhuzaini bin Ab Rahman S.M.Z.,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Kota Putera N02(PAS),https://dun.terengganu.gov.my/images/ADUN/N02%20kotaputera%20YB%20MOHD%20NURKHUZAINI%20BIN%20AB%20RAHMAN.jpg
Haji Hishamuddin bin Abdul Karim,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Tepuh N09(PAS),https://dun.terengganu.gov.my/images/ADUN/N09%20tepoh%20YB.%20Haji%20Hishamuddin%20bin%20Abdul%20Karim.jpg
Dr. Muhammad Khalil bin Abdul Hadi,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Batu Buruk N16(PAS),https://dun.terengganu.gov.my/images/ADUN/N16%20batuburuk%20Muhammad%20Khalil%20Abdul%20Hadi.jpg
Haji Wan Hapandi bin Wan Nik,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Sura N27(PAS),https://dun.terengganu.gov.my/images/ADUN/N27%20sura%20YB.%20Haji%20Wan%20Hapandi%20bin%20Wan%20Nik.jpg
Haji Ridzuan bin Hashim,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Buluh Gading N10(PAS),https://dun.terengganu.gov.my/images/adn/ybriduan%20hasim.jpg
Haji Hilmi bin Harun,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Manir N22(PAS),https://dun.terengganu.gov.my/images/ADUN/N22%20manir%20YB.%20Haji%20Hilmi%20bin%20Harun.jpg
Haji Alias bin Harun,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Rantau Abang N26(PAS),https://dun.terengganu.gov.my/images/ADUN/N26%20rantau%20abang%20YB.%20Haji%20Alias%20bin%20Harun.jpg
Sulaiman bin Sulong,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Pengkalan Berangan N20(PAS),https://dun.terengganu.gov.my/images/ADUN/N20%20pengkalanberangan%20YB.%20Sulaiman%20bin%20Sulong.jpg
Ahmad Shah bin Muhamed,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Bandar N14(PAS),https://dun.terengganu.gov.my/images/ADUN/N14%20bandar%20YB.%20Ahmad%20Shah%20bin%20Muhamed.jpg
Ab Razak bin Ibrahim,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Air Putih N32(PAS),https://dun.terengganu.gov.my/images/ADUN/N32%20air%20putih%20YB.%20Ab%20Razak%20bin%20Ibrahim.jpg
Haji Maliaman bin Kassim,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Ajil N24(PAS),https://dun.terengganu.gov.my/images/ADUN/N24%20ajil%20YB.%20Haji%20Maliaman%20bin%20Kassim.jpg
Ir. Saiful Azmi bin Suhaili,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Kemasik N29(PAS),https://dun.terengganu.gov.my/images/ADUN/N29%20kemasik%20YB.%20Ir.%20Saiful%20Azmi%20bin%20Suhaili.jpg
Hajah Zuraida binti Md. Noor,"Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Wakil Wanita,https://dun.terengganu.gov.my/images/adn/ybhjh%20zuraida.jpg
"Dato' Seri Dr. Haji Ahmad bin Said, S.S.M.Z.,D.P.M.T.,A.S.M.,P.J.K.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Kijal N30(BN),https://dun.terengganu.gov.my/images/adn/ybDato%EF%BF%BD%20Seri%20Haji%20Ahmad%20Razif%20bin%20Abd.%20Rahman22222222222.jpg
"Dato' Seri Dr. Haji Ahmad Razif bin Abd. Rahman, S.S.M.Z.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Seberang Takir N11(BN),https://dun.terengganu.gov.my/images/adn/ybDato%20Seri%20Haji%20Ahmad%20Razif%20bin%20Abd.%20Rahman22222222222.jpg
"Dato' Haji Rozi bin Mamat, D.P.M.T.,S.M.Z.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Telemung N21(BN),https://dun.terengganu.gov.my/images/ADUN/N21%20telemung%20YB.%20Dato%20Haji%20Rozi%20bin%20Mamat.jpg
"Datuk Haji Nawi bin Mohamad, P.M.W.,S.M.T.,P.J.K.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Hulu Besut N4(BN),https://dun.terengganu.gov.my/images/ADUN/N04%20hulubesut%20YB.%20Haji%20Nawi%20bin%20Mohamad.jpg
"Haji Roslee bin Daud, A.M.Z.,P.P.N.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Bukit Besi N25(BN),https://dun.terengganu.gov.my/images/ADUN/N25%20bukitbesi%20YB%20Haji%20Roslee%20bin%20Daud.jpg
"Dato' Haji Muhammad Pehimi bin Hj. Yusof, D.P.M.T.,P.P.N.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Jertih N3(BN),https://dun.terengganu.gov.my/images/ADUN/N03%20jertih%20YB.%20Dato%20Haji%20Muhammad%20Pehimi%20bin%20Yusof.jpg
"Dato' Haji Sabri bin Hj Mohd Noor, D.I.M.P.,P.P.N.,P.J.K.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Langkap N7(BN),https://dun.terengganu.gov.my/images/ADUN/N07%20langkap%20YB.%20Dato%20Haji%20Sabri%20bin%20Mohd%20Noor.jpg
"Haji Bazlan bin Abd. Rahman, A.M.T.,P.J.K.","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Batu Rakit N8(BN),https://dun.terengganu.gov.my/images/ADUN/N08%20baturakit%20YB.%20Haji%20Bazlan%20bin%20Abd.%20Rahman.jpg
"Tengku Zaihan bin Che Ku Abd. Rahman, P.J.K.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Kuala Besut N1(BN),https://dun.terengganu.gov.my/images/ADUN/N01%20kuala%20besut%20YB.%20Tengku%20Zaihan%20bin%20Che%20Ku%20Abd%20Rahman.jpg
"Datuk Abd Halim bin Jusoh, D.P.S.M.,","Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Terengganu",Permaisuri n6(BN),https://dun.terengganu.gov.my/images/ADUN/N06%20%20YB%20DATUK%20ABD%20HALIM%20BIN%20JUSOH.jpg
